name,connected,uptime,wifi_strength,bytesReceived,bytesSent,packetsLost
toaster,0,67725,0,8661,16994,33
smokedetector,0,67725,0,17862,8306,16
chromecast,0,67725,0,1428844012,1376265057,2752530
appletv,0,67725,0,1815185659,1906973647,3813947
home,0,67785,0,3934646216,2017852154,4035704
desktopfamily,0,67785,0,561242268,561257957,16276480753
dadpc,0,67785,0,561258369,561251156,16276283524
regulartv,0,67785,0,1705,1645,3
printer,1,67785,0,17569,8688,17
camera,0,67785,0,90801,376079,752
xbox,0,67785,0,0,0,0
iphone,0,67785,-1,3420264,3290104,6580
googlepixel,0,67785,-1,3361790,3375975,6751
voipphone,0,67785,0,245251,268266,536
nest,0,67785,0,8332,17407,34
toaster,0,67785,0,8668,17022,34
smokedetector,0,67785,0,17876,8308,16
chromecast,0,67785,0,1428844015,1376265058,2752530
appletv,0,67785,0,1815185659,1906973647,3813947
home,0,67845,0,3936332309,2021211944,4042423
desktopfamily,0,67845,0,562188576,562203735,17428315785
dadpc,0,67845,0,562204168,562197347,17428117757
regulartv,0,67845,0,1706,1648,3
printer,1,67845,0,17587,8693,17
camera,0,67845,0,90896,376342,752
xbox,0,67845,0,0,0,0
iphone,0,67845,-1,3423183,3292838,6585
googlepixel,0,67845,-1,3363149,3379176,6758
voipphone,0,67845,0,245288,268291,536
nest,0,67845,0,8337,17423,34
toaster,0,67845,0,8669,17035,34
smokedetector,0,67845,0,17882,8318,16
chromecast,0,67845,0,1428844015,1376265060,2752530
appletv,0,67845,0,1815185659,1906973647,3813947
home,0,67905,0,3938039202,2024617976,4049235
desktopfamily,0,67905,0,563145977,563160870,18584308710
dadpc,0,67905,0,563161212,563154809,18584108697
regulartv,0,67905,0,1706,1649,3
printer,1,67905,0,17605,8701,17
camera,0,67905,0,91016,376625,753
xbox,0,67905,0,0,0,0
iphone,0,67905,-1,3428607,3297224,6594
googlepixel,0,67905,-1,3364422,3379512,6759
voipphone,0,67905,0,245304,268349,536
nest,0,67905,0,8350,17423,34
toaster,0,67905,0,8680,17035,34
smokedetector,0,67905,0,17886,8327,16
chromecast,0,67905,0,1428844015,1376265060,2752530
appletv,0,67905,0,1815185659,1906973647,3813947
home,0,67965,0,3939768394,2028064776,4056129
desktopfamily,0,67965,0,564113178,564128094,19180355196
dadpc,0,67965,0,564128176,564122226,19180155684
regulartv,0,67965,0,1706,1650,3
printer,1,67965,0,17612,8710,17
camera,0,67965,0,91053,376672,753
xbox,0,67965,0,0,0,0
iphone,0,67965,-1,3429602,3300414,6600
googlepixel,0,67965,-1,3368673,3381421,6762
voipphone,0,67965,0,245345,268395,536
nest,0,67965,0,8358,17425,34
toaster,0,67965,0,8684,17045,34
smokedetector,0,67965,0,17903,8338,16
chromecast,0,67965,0,1428844015,1376265060,2752530
appletv,0,67965,0,1815185659,1906973647,3813947
home,0,68025,0,3941513967,2031547232,4063094
desktopfamily,0,68025,0,565089232,565104163,20343749868
dadpc,0,68025,0,565104480,565098621,20343550356
regulartv,0,68025,0,1708,1651,3
printer,1,68025,0,17626,8710,17
camera,0,68025,0,91062,376719,753
xbox,0,68025,0,0,0,0
iphone,0,68025,-1,3435250,3301802,6603
googlepixel,0,68025,-1,3371127,3382520,6765
voipphone,0,68025,0,245374,268427,536
nest,0,68025,0,8360,17429,34
toaster,0,68025,0,8687,17061,34
smokedetector,0,68025,0,17924,8338,16
chromecast,0,68025,0,1428844015,1376265062,2752530
appletv,0,68025,0,1815185659,1906973647,3813947
home,0,68085,0,3943278453,2035061754,4070123
desktopfamily,0,68085,0,566072707,566087236,20945227732
dadpc,0,68085,0,566088140,566081962,20945032594
regulartv,0,68085,0,1709,1653,3
printer,1,68085,0,17626,8722,17
camera,0,68085,0,91167,376867,753
xbox,0,68085,0,0,0,0
iphone,0,68085,-1,3437513,3302837,6605
googlepixel,0,68085,-1,3376097,3388414,6776
voipphone,0,68085,0,245429,268447,536
nest,0,68085,0,8372,17460,34
toaster,0,68085,0,8692,17072,34
smokedetector,0,68085,0,17945,8342,16
chromecast,0,68085,0,1428844015,1376265062,2752530
appletv,0,68085,0,1815185659,1906973647,3813947
home,0,68145,0,3945055563,2038601592,4077203
desktopfamily,0,68145,0,567062773,567077105,21548929990
dadpc,0,68145,0,567077491,567071522,21548717836
regulartv,0,68145,0,1710,1656,3
printer,1,68145,0,17634,8726,17
camera,0,68145,0,91281,377158,754
xbox,0,68145,0,0,0,0
iphone,0,68145,-1,3441111,3308195,6616
googlepixel,0,68145,-1,3379314,3393064,6786
voipphone,0,68145,0,245451,268480,536
nest,0,68145,0,8381,17480,34
toaster,0,68145,0,8695,17072,34
smokedetector,0,68145,0,17972,8356,16
chromecast,0,68145,0,1428844015,1376265063,2752530
appletv,0,68145,0,1815185659,1906973647,3813947
home,0,68205,0,3946843338,2042165100,4084330
desktopfamily,0,68205,0,568056740,568071927,22154805153
dadpc,0,68205,0,568072219,568065732,22154563548
regulartv,0,68205,0,1712,1658,3
printer,1,68205,0,17643,8738,17
camera,0,68205,0,91401,377384,754
xbox,0,68265,0,0,0,0
iphone,0,68265,-1,3452682,3317277,6634
googlepixel,0,68265,-1,3385160,3400351,6800
voipphone,0,68265,0,245502,268544,537
nest,0,68265,0,8389,17526,35
toaster,0,68265,0,8698,17126,34
smokedetector,0,68265,0,18005,8377,16
chromecast,0,68265,0,1428844017,1376265065,2752530
appletv,0,68265,0,1815185659,1906973647,3813947
home,0,68325,0,3950444989,2049336972,4098673
desktopfamily,0,68325,0,570053737,570069802,22232722278
dadpc,0,68325,0,570070189,570063065,22232459535
regulartv,0,68325,0,1712,1659,3
printer,1,68325,0,17674,8756,17
camera,0,68325,0,91684,377537,755
xbox,0,68325,0,0,0,0
iphone,0,68325,-1,3458043,3320610,6641
googlepixel,0,68325,-1,3385286,3401760,6803
voipphone,0,68325,0,245551,268544,537
nest,0,68325,0,8396,17540,35
toaster,0,68325,0,8710,17134,34
smokedetector,0,68325,0,18016,8380,16
chromecast,0,68325,0,1428844017,1376265068,2752530
appletv,0,68325,0,1815185659,1906973647,3813947
home,0,68385,0,3952249806,2052937474,4105874
desktopfamily,0,68385,0,571054070,571070275,22842811000
dadpc,0,68385,0,571071177,571063756,22842550240
regulartv,0,68385,0,1714,1662,3
printer,1,68385,0,17690,8756,17
camera,0,68385,0,91768,377574,755
xbox,0,68385,0,0,0,0
iphone,0,68385,-1,3462066,3325740,6651
googlepixel,0,68385,-1,3389515,3404100,6808
voipphone,0,68385,0,245569,268588,537
nest,0,68385,0,8408,17566,35
toaster,0,68385,0,8713,17145,34
smokedetector,0,68385,0,18025,8380,16
chromecast,0,68385,0,1428844018,1376265071,2752530
appletv,0,68385,0,1815185659,1906973647,3813947
home,0,68445,0,3954058552,2056539640,4113079
desktopfamily,0,68445,0,572053505,572070121,22310734719
dadpc,0,68445,0,572071461,572063857,22310490423
regulartv,0,68445,0,1714,1665,3
printer,1,68445,0,17704,8757,17
camera,0,68445,0,91881,377683,755
xbox,0,68445,0,0,0,0
iphone,0,68445,-1,3466292,3328718,6657
googlepixel,0,68445,-1,3390773,3405577,6811
voipphone,0,68445,0,245588,268592,537
nest,0,68445,0,8409,17577,35
toaster,0,68445,0,8713,17151,34
smokedetector,0,68445,0,18027,8380,16
chromecast,0,68445,0,1428844020,1376265074,2752530
appletv,0,68445,0,1815185659,1906973647,3813947
home,0,68505,0,3955863370,2060139748,4120279
desktopfamily,0,68505,0,573051248,573067976,22349651064
dadpc,0,68505,0,573069290,573061585,22349401815
regulartv,0,68505,0,1716,1668,3
printer,1,68505,0,17704,8758,17
camera,0,68505,0,91972,377897,755
xbox,0,68505,0,0,0,0
iphone,0,68505,-1,3471274,3331989,6663
googlepixel,0,68505,-1,3393578,3410263,6820
voipphone,0,68505,0,245647,268598,537
nest,0,68505,0,8412,17584,35
toaster,0,68505,0,8720,17161,34
smokedetector,0,68505,0,18045,8391,16
chromecast,0,68505,0,1428844021,1376265077,2752530
appletv,0,68505,0,1815185659,1906973647,3813947
home,0,68565,0,3957666557,2063732190,4127464
desktopfamily,0,68565,0,574045533,574062504,22388437656
dadpc,0,68565,0,574063183,574056235,22388193165
regulartv,0,68565,0,1719,1668,3
printer,1,68565,0,17711,8766,17
camera,0,68565,0,91976,378103,756
xbox,0,68565,0,0,0,0
iphone,0,68565,-1,3475426,3337013,6674
googlepixel,0,68565,-1,3395954,3412241,6824
voipphone,0,68565,0,245683,268654,537
nest,0,68565,0,8415,17605,35
toaster,0,68565,0,8728,17191,34
smokedetector,0,68565,0,18051,8397,16
chromecast,0,68565,0,1428844023,1376265080,2752530
appletv,0,68565,0,1815185659,1906973647,3813947
home,0,68625,0,3959461854,2067313096,4134626
desktopfamily,0,68625,0,575034643,575051929,21851973302
dadpc,0,68625,0,575052896,575046187,21851755106
regulartv,0,68625,0,1719,1671,3
printer,1,68625,0,17729,8769,17
camera,0,68625,0,92133,378403,756
xbox,0,68625,0,0,0,0
iphone,0,68625,-1,3479705,3340404,6680
googlepixel,0,68625,-1,3401836,3417672,6835
voipphone,0,68625,0,245713,268717,537
nest,0,68625,0,8418,17609,35
toaster,0,68625,0,8741,17196,34
smokedetector,0,68625,0,18079,8401,16
chromecast,0,68625,0,1428844023,1376265082,2752530
appletv,0,68625,0,1815185659,1906973647,3813947
home,0,68685,0,3961252164,2070876526,4141753
desktopfamily,0,68685,0,576018163,576035441,21313311317
dadpc,0,68685,0,576036548,576029709,21313099233
regulartv,0,68685,0,1721,1673,3
printer,1,68685,0,17755,8780,17
camera,0,68685,0,92219,378418,756
xbox,0,68685,0,0,0,0
iphone,0,68685,-1,3480147,3341368,6682
googlepixel,0,68685,-1,3405405,3418207,6836
voipphone,0,68685,0,245770,268780,537
nest,0,68685,0,8427,17629,35
toaster,0,68685,0,8756,17198,34
smokedetector,0,68685,0,18090,8412,16
chromecast,0,68685,0,1428844024,1376265085,2752530
appletv,0,68685,0,1815185659,1906973647,3813947
home,0,68745,0,3963026415,2074417236,4148834
desktopfamily,0,68745,0,576994625,577011259,20772405324
dadpc,0,68745,0,577012282,577005402,20772194472
regulartv,0,68745,0,1723,1675,3
printer,1,68745,0,17770,8783,17
camera,0,68745,0,92255,378529,757
xbox,0,68745,0,0,0,0
iphone,0,68745,-1,3481522,3345920,6691
googlepixel,0,68745,-1,3405839,3423308,6846
voipphone,0,68745,0,245797,268785,537
nest,0,68745,0,8437,17635,35
toaster,0,68745,0,8766,17215,34
smokedetector,0,68745,0,18095,8421,16
chromecast,0,68745,0,1428844026,1376265088,2752530
appletv,0,68745,0,1815185659,1906973647,3813947
home,0,68805,0,3964785115,2077930166,4155860
desktopfamily,0,68805,0,577961652,577978958,19651284572
dadpc,0,68805,0,577979684,577972421,19651062314
regulartv,0,68805,0,1726,1677,3
printer,1,68805,0,17799,8795,17
camera,0,68805,0,92336,378817,757
xbox,0,68805,0,0,0,0
iphone,0,68805,-1,3482166,3350599,6701
googlepixel,0,68805,-1,3410139,3427469,6854
voipphone,0,68805,0,245828,268836,537
nest,0,68805,0,8450,17640,35
toaster,0,68805,0,8767,17229,34
smokedetector,0,68805,0,18112,8429,16
chromecast,0,68805,0,1428844026,1376265089,2752530
appletv,0,68805,0,1815185659,1906973647,3813947
home,0,68865,0,3966530709,2081413202,4162826
desktopfamily,0,68865,0,578919383,578936612,19104908196
dadpc,0,68865,0,578937304,578929404,19104670332
regulartv,0,68865,0,1727,1680,3
printer,1,68865,0,17821,8798,17
camera,0,68865,0,92383,378841,757
xbox,0,68865,0,0,0,0
iphone,0,68865,-1,3485888,3355326,6710
googlepixel,0,68865,-1,3415115,3427948,6855
voipphone,0,68865,0,245831,268890,537
nest,0,68865,0,8452,17670,35
toaster,0,68865,0,8775,17230,34
smokedetector,0,68865,0,18121,8432,16
chromecast,0,68865,0,1428844028,1376265089,2752530
appletv,0,68865,0,1815185659,1906973647,3813947
home,0,68925,0,3968262438,2084859602,4169719
desktopfamily,0,68925,0,579865010,579882752,17976365312
dadpc,0,68925,0,579883422,579875133,17976129123
regulartv,0,68925,0,1728,1683,3
printer,1,68925,0,17839,8813,17
camera,0,68925,0,92403,379044,758
xbox,0,68925,0,0,0,0
iphone,0,68925,-1,3489813,3357821,6715
googlepixel,0,68925,-1,3418618,3430963,6861
voipphone,0,68925,0,245844,268913,537
nest,0,68925,0,8454,17675,35
toaster,0,68925,0,8778,17232,34
smokedetector,0,68925,0,18133,8437,16
chromecast,0,68925,0,1428844029,1376265090,2752530
appletv,0,68925,0,1815185659,1906973647,3813947
home,0,68985,0,3969971756,2088265364,4176530
desktopfamily,0,68985,0,580798688,580815848,16843659592
dadpc,0,68985,0,580816817,580808229,16843438641
regulartv,0,68985,0,1730,1685,3
printer,1,68985,0,17870,8814,17
camera,0,68985,0,92500,379312,758
xbox,0,68985,0,0,0,0
iphone,0,68985,-1,3495794,3362471,6724
googlepixel,0,68985,-1,3418701,3435848,6871
voipphone,0,68985,0,245901,268921,537
nest,0,68985,0,8464,17693,35
toaster,0,68985,0,8791,17233,34
smokedetector,0,68985,0,18158,8443,16
chromecast,0,68985,0,1428844029,1376265091,2752530
appletv,0,68985,0,1815185659,1906973647,3813947
home,0,69045,0,3971657791,2091624998,4183249
desktopfamily,0,69045,0,581718060,581736122,15706875294
dadpc,0,69045,0,581736303,581728027,15706656729
regulartv,0,69045,0,1731,1688,3
printer,1,69045,0,17892,8816,17
camera,0,69045,0,92554,379370,758
xbox,0,69045,0,0,0,0
iphone,0,69045,-1,3495832,3366431,6732
googlepixel,0,69045,-1,3422985,3437967,6875
voipphone,0,69045,0,245914,268928,537
nest,0,69045,0,8464,17705,35
toaster,0,69045,0,8798,17243,34
smokedetector,0,69045,0,18159,8444,16
chromecast,0,69045,0,1428844032,1376265092,2752530
appletv,0,69045,0,1815185659,1906973647,3813947
home,0,69105,0,3973316744,2094937240,4189874
desktopfamily,0,69105,0,582623372,582641198,13983388752
dadpc,0,69105,0,582641628,582632536,13983180864
regulartv,0,69105,0,1733,1691,3
printer,1,69105,0,17904,8826,17
camera,0,69105,0,92635,379525,759
xbox,0,69105,0,0,0,0
iphone,0,69105,-1,3496310,3372049,6744
googlepixel,0,69105,-1,3426716,3438173,6876
voipphone,0,69105,0,245918,268975,537
nest,0,69105,0,8474,17727,35
toaster,0,69105,0,8802,17248,34
smokedetector,0,69105,0,18188,8452,16
chromecast,0,69105,0,1428844034,1376265095,2752530
appletv,0,69105,0,1815185659,1906973647,3813947
home,0,69165,0,3974950234,2098194796,4196389
desktopfamily,0,69165,0,583512385,583530748,12837676456
dadpc,0,69165,0,583530422,583521969,12837483318
regulartv,0,69165,0,1735,1693,3
printer,1,69165,0,17915,8833,17
camera,0,69165,0,92768,379791,759
xbox,0,69165,0,0,0,0
iphone,0,69165,-1,3499541,3372303,6744
googlepixel,0,69165,-1,3432021,3444007,6888
voipphone,0,69165,0,245961,269003,538
nest,0,69165,0,8479,17748,35
toaster,0,69165,0,8812,17263,34
smokedetector,0,69165,0,18205,8467,16
chromecast,0,69165,0,1428844037,1376265097,2752530
appletv,0,69165,0,1815185659,1906973647,3813947
home,0,69225,0,3976558145,2101397460,4202794
desktopfamily,0,69225,0,584384625,584402787,11103652953
dadpc,0,69225,0,584402820,584394519,11103495861
regulartv,0,69225,0,1735,1693,3
printer,1,69225,0,17938,8844,17
camera,0,69225,0,92813,380041,760
xbox,0,69225,0,0,0,0
iphone,0,69225,-1,3504962,3378221,6756
googlepixel,0,69225,-1,3434236,3447780,6895
voipphone,0,69225,0,246001,269042,538
nest,0,69225,0,8489,17773,35
toaster,0,69225,0,8819,17272,34
smokedetector,0,69225,0,18236,8479,16
chromecast,0,69225,0,1428844038,1376265097,2752530
appletv,0,69225,0,1815185659,1906973647,3813947
home,0,69285,0,3978135333,2104538190,4209076
desktopfamily,0,69285,0,585238607,585257106,9364113696
dadpc,0,69285,0,585256449,585248854,9363981664
regulartv,0,69285,0,1736,1693,3
printer,1,69285,0,17969,8853,17
camera,0,69285,0,92898,380256,760
xbox,0,69285,0,0,0,0
iphone,0,69285,-1,3507895,3380116,6760
googlepixel,0,69285,-1,3439863,3450172,6900
voipphone,0,69285,0,246001,269096,538
nest,0,69285,0,8497,17801,35
toaster,0,69285,0,8830,17278,34
smokedetector,0,69285,0,18241,8480,16
